"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2556147,"March 27, 2023","North Carolina",Raleigh,"700 block of Cumberland St",1,0,N/A
2556103,"March 27, 2023",Texas,"Fort Worth","Miller Ave and Martin St",1,0,N/A
2556072,"March 27, 2023",Texas,Brownsville,"100 block of Meadow Ln",1,0,N/A
2556051,"March 27, 2023",California,Tarzana,"13000 block of W Oxnard St",0,1,N/A
2556033,"March 27, 2023",California,Hesperia,"17115 Main St",0,1,N/A
2556023,"March 27, 2023",Virginia,Portsmouth,"3800 block of Headwind Ln",0,1,N/A
2556018,"March 27, 2023",Iowa,Davenport,"1200 block of Myrtle St",0,2,N/A
2555991,"March 27, 2023",Wisconsin,Milwaukee,"N 21st St and W Burleigh St",1,0,N/A
2555723,"March 27, 2023",Michigan,Detroit,"Gratiot Ave and E State Fair Ave",0,2,N/A
2555920,"March 27, 2023",Illinois,Chicago,"700 block of N Homan Ave",0,1,N/A
2555912,"March 27, 2023",California,"San Diego","10900 San Diego Mission Rd",1,0,N/A
2555904,"March 27, 2023",Illinois,Chicago,"1900 block of S St Louis Ave",0,1,N/A
2555459,"March 27, 2023",Tennessee,Nashville,"33 Burton Hills Blvd",7,0,N/A
2555890,"March 27, 2023",Ohio,Cincinnati,"Linn St and Findlay St",0,1,N/A
2555884,"March 27, 2023",California,Stockton,"2600 block of Monte Diablo Ave",0,1,N/A
2555881,"March 27, 2023",Tennessee,Memphis,"3100 block of Madewell St",1,1,N/A
2555875,"March 27, 2023",Tennessee,Dyersburg,"125 US-51 BYP",0,0,N/A
2555866,"March 27, 2023",California,"Los Angeles (Vernon)","3000 block of Atlantic Blvd",0,1,N/A
2555792,"March 27, 2023",Texas,"Port Arthur","3300 block of Twin City Hwy",0,1,N/A
2555826,"March 27, 2023",Pennsylvania,Philadelphia,"1300 block of W Wishart St",1,1,N/A
2555822,"March 27, 2023",California,Madera,"101 N Gateway Dr",0,2,N/A
2555736,"March 27, 2023",Missouri,"Saint Louis","3000 block of Iowa Ave",1,1,N/A
2555660,"March 27, 2023",Indiana,Indianapolis,"8787 Keystone Crossing",0,1,N/A
2555670,"March 27, 2023",Michigan,Eastpointe,"Normandy Ave",0,1,N/A
2555665,"March 27, 2023",Louisiana,Opelousas,"Franklin St and Union St",0,1,N/A
2555553,"March 27, 2023",Arizona,Chandler,"Dobson Rd and Ray Rd",0,1,N/A
2555457,"March 27, 2023",Pennsylvania,Philadelphia,"1900 block of W York St",1,0,N/A
2555365,"March 27, 2023",Pennsylvania,Philadelphia,"2607 Welsh Rd",0,1,N/A
2555374,"March 27, 2023",Pennsylvania,Philadelphia,"5834 Pulaski Ave",0,1,N/A
2555326,"March 27, 2023",Wisconsin,Milwaukee,"7225 N 76th St",0,5,N/A
2555121,"March 26, 2023",Louisiana,Shreveport,"Fairfield Ave and Baker St",0,1,N/A
2556145,"March 26, 2023",Louisiana,"Bossier City","300 block of Joannes St",0,1,N/A
2554823,"March 26, 2023","North Carolina",Gastonia,"300 Osceola St",1,1,N/A
2556129,"March 26, 2023","North Carolina",Greensboro,"2312 Randleman Rd",0,1,N/A
2556123,"March 26, 2023","North Carolina",Fayetteville,"200 block of Gertrude St",1,2,N/A
2555108,"March 26, 2023",Ohio,Cleveland,"6900 block of Kinsman Rd",1,0,N/A
2556100,"March 26, 2023","South Carolina",Columbia,"751 Mallet Hill Rd",2,0,N/A
2556069,"March 26, 2023",Texas,Brownsville,"6000 block of 5th Ave",1,0,N/A
2556063,"March 26, 2023","North Carolina",Charlotte,"1000 block of Teresa Ln",1,0,N/A
2554779,"March 26, 2023",Pennsylvania,Philadelphia,"1900 block of N 19th St",2,2,N/A
2556053,"March 26, 2023",Georgia,Atlanta,"732 Ira St SW",1,0,N/A
2556042,"March 26, 2023",Louisiana,Alexandria,"Tuma Dr and Old Boyce Rd",1,0,N/A
2554888,"March 26, 2023",Georgia,Calhoun,"Anthony Dr",0,1,N/A
2554890,"March 26, 2023",Illinois,"East Moline","15th Ave",1,0,N/A
2555309,"March 26, 2023",Minnesota,Minneapolis,"5601 Brooklyn Blvd",0,6,N/A
2555014,"March 26, 2023",Virginia,Woodbridge,"13000 block of Kitty Hawk Way",0,1,N/A
2555977,"March 26, 2023","New Jersey",Paterson,"Hamilton Ave and Carroll St",0,1,N/A
2555971,"March 26, 2023",California,Lompoc,"321 W North Ave",1,0,N/A
2555068,"March 26, 2023",Florida,"Fort Lauderdale (Lauderhill)","3700 block of Environ Blvd",1,0,N/A
2555065,"March 26, 2023",Michigan,Detroit,"3902 Woodward Ave",0,2,N/A
2554832,"March 26, 2023",Florida,Jacksonville,"Morse Ave",1,1,N/A
2555947,"March 26, 2023","West Virginia",Jeffrey,"Bias Branch Rd",0,1,N/A
2555555,"March 26, 2023","New Jersey",Camden,"3100 Alabama Rd",1,0,N/A
2555047,"March 26, 2023",Florida,"Fort Myers","Travis Ave",0,1,N/A
2555322,"March 26, 2023","New Jersey",Trenton,"100 block of Pennington Ave",2,1,N/A
2555036,"March 26, 2023",Minnesota,Minneapolis,"E 19th Ave and Nicollet Ave",0,1,N/A
2555344,"March 26, 2023",Maryland,Severn,"8202 Durness Ct",0,3,N/A
2555034,"March 26, 2023","South Carolina",Marietta,"White Oak Way",0,1,N/A
2555032,"March 26, 2023","South Carolina",Spartanburg,"108 Westview Blvd",1,0,N/A
2555932,"March 26, 2023",Tennessee,Jackson,"541 Carriage House Dr",0,1,N/A
2555029,"March 26, 2023",Wisconsin,Milwaukee,"W Galena St and N 32nd St",0,1,N/A
2555027,"March 26, 2023","South Carolina",Spartanburg,"Winsmith Ave",1,0,N/A
2555928,"March 26, 2023",California,Vallejo,"500 Tennessee St",2,1,N/A
2555910,"March 26, 2023",Tennessee,Henderson,"Hill Ave and Steed St",0,1,N/A
2555018,"March 26, 2023",Virginia,Dumfries,"17000 block of Dumfries Rd",0,1,N/A
2555016,"March 26, 2023","North Carolina",Greensboro,"Woodlake Dr",1,0,N/A
2555009,"March 26, 2023",Maryland,Brandywine,"15600 block of Birmingham Cir",0,1,N/A
2554703,"March 26, 2023",Illinois,Chicago,"2200 block of S Sawyer Ave",1,0,N/A
2555001,"March 26, 2023","North Carolina",Fayetteville,"200 block of Durant Dr",0,1,N/A
2554994,"March 26, 2023",California,Vineyard,"7676 Bradshaw Rd",0,2,N/A
2554992,"March 26, 2023","District of Columbia",Washington,"700 block of 12th St SE",0,1,N/A
2555888,"March 26, 2023",California,Stockton,"1732 Cherokee Rd",0,1,N/A
2554990,"March 26, 2023","North Carolina","Rocky Mount","700 block of Eagles Terrace",0,1,N/A
2554983,"March 26, 2023","North Carolina","Rocky Mount","100 block of NE Main St",0,3,N/A
